Name,Author,Publisher,Rating,Review Count,Sale Rank,Original Price,Sale Price,category
소년이 온다,한강 저,창비,9.6,"1,555","| 판매지수 6,282,045 판매지수란?","15,000원","13,500원",한국소설
채식주의자,한강 저,창비,9.1,403,"| 판매지수 5,426,508 판매지수란?","15,000원","13,500원",한국소설
작별하지 않는다,한강 저,문학동네,9.4,757,"| 판매지수 4,399,746 판매지수란?","16,800원","15,120원",한국소설
서랍에 저녁을 넣어 두었다,한강 저,문학과지성사,9.5,291,"| 판매지수 1,617,921 판매지수란?","12,000원","10,800원",시/희곡
흰,한강 저/최진혁 사진,문학동네,9.5,164,"| 판매지수 1,714,047 판매지수란?","14,500원","13,050원",한국소설
희랍어 시간,한강 저,문학동네,9.1,260,"| 판매지수 815,823 판매지수란?","13,000원","11,700원",한국소설
트렌드 코리아 2025,"김난도, 전미영, 최지혜, 권정윤, 한다혜 저 외 5명 정보 더 보기/감추기",미래의창,9.5,92,"| 판매지수 513,549 판매지수란?","20,000원","18,000원",경제
하루 한 장 나의 어휘력을 위한 필사 노트,유선경 저,위즈덤하우스,9.6,391,"| 판매지수 688,803 판매지수란?","23,800원","21,420원",글쓰기
디 에센셜 한강,한강 저,문학동네,9.9,44,"| 판매지수 326,274 판매지수란?","17,000원","15,300원",시/희곡
넥서스,유발 하라리 저/김명주 역,김영사,9.0,23,"| 판매지수 173,208 판매지수란?","27,800원","25,020원",인문/교양
"바람이 분다, 가라",한강 저,문학과지성사,9.4,85,"| 판매지수 235,419 판매지수란?","14,000원","12,600원",한국소설
작은 땅의 야수들,김주혜 저/박소현 역,다산책방,9.3,515,"| 판매지수 148,875 판매지수란?","18,000원","16,200원",영미소설
여수의 사랑,한강 저,문학과지성사,9.7,12,"| 판매지수 186,957 판매지수란?","16,000원","14,400원",한국소설
생각의 연금술,"제임스 알렌 저/하와이 대저택 편/송은선, 함희영 역",포레스트북스,9.2,66,"| 판매지수 193,677 판매지수란?","19,800원","17,820원",처세술/삶의 자...
모순,양귀자 저,쓰다,9.6,"1,181","| 판매지수 398,628 판매지수란?","13,000원","11,700원",한국소설
